id_produto,nome_produto,sku,id_categoria,fornecedor,preco,peso_kg,estoque_disponivel,ativo,precisa_revisao,data_cadastro_produto,total_pedidos,receita_total,ticket_medio,total_unidades_vendidas,total_avaliacoes,media_nota_produto,media_nota_nps,pct_recomendacoes_sim,total_tickets,media_tempo_resolucao_horas,media_nota_suporte,timestamp_ingestion_gold
PROD-0001,Smartphone 128gb,ELET-SMARTPHONE-SHENZHEN-0001,CATEG-0005,Shenzhen Connect Brasil,2504.00,2.99,429,Não,Não,2024-04-10,3092,16481870.03,5330.49,8318,1513,3.56,6.9,72.97,581,69.43,3.02,2026-05-16 20:42:35.119941
PROD-0002,Smartphone 64gb,NULL-SMARTPHONE-GLOBAL-0002,CATEG-0008,Global Electronics Ltda,1906.00,4.46,407,Sim,Não,2018-07-23,3281,14329148.74,4367.31,8968,1619,3.69,7.32,76.96,314,60.59,3.49,2026-05-16 20:42:35.119941
PROD-0003,Smartphone 256gb,ELET-SMARTPHONE-GLOBAL-0003,CATEG-0005,Global Electronics Ltda,3955.00,0.83,29,Sim,Não,2025-11-07,3144,26395180.04,8395.41,8419,1567,3.64,7.14,75.18,319,64.71,3.42,2026-05-16 20:42:35.119941
PROD-0004,Notebook Intel Core I5,ELET-NOTEBOOK-SHENZHEN-0004,CATEG-0005,Shenzhen Connect Brasil,3359.00,-1.0,217,Sim,Sim,2020-12-21,3026,22076873.51,7295.73,8220,1475,3.46,6.76,69.36,588,70.17,2.89,2026-05-16 20:42:35.119941
PROD-0005,Notebook Intel Core I7,ELET-NOTEBOOK-TECHBRASIL-0005,CATEG-0005,Techbrasil Distribuidora,3364.00,3.77,271,Sim,Não,2018-12-02,3573,25707679.39,7194.98,9676,1809,3.67,7.23,75.62,284,68.51,3.26,2026-05-16 20:42:35.119941
PROD-0006,Notebook Intel Core I3,ELET-NOTEBOOK-ALPHA-0006,CATEG-0005,Alpha Tech Importados,1631.00,4.01,3,Sim,Não,2019-03-16,1824,6424373.73,3522.13,5101,912,3.63,6.97,72.59,196,61.48,3.3,2026-05-16 20:42:35.119941
PROD-0007,Smart Tv 50 Polegadas,ELET-SMART-SHENZHEN-0007,CATEG-0005,Shenzhen Connect Brasil,2319.00,1.63,459,Sim,Não,2018-09-16,2995,15079488.04,5034.89,8090,1514,3.51,6.89,70.87,631,66.88,3.09,2026-05-16 20:42:35.119941
PROD-0008,Smart Tv 43 Polegadas,ELET-SMART-TECHBRASIL-0008,CATEG-0005,Techbrasil Distribuidora,1486.00,1.95,0,Não,Não,2024-10-27,3525,11297894.85,3205.08,9522,1734,3.63,7.13,74.28,288,68.14,3.4,2026-05-16 20:42:35.119941
PROD-0009,Smart Tv 55 Polegadas,ELET-SMART-GLOBAL-0009,CATEG-0005,Global Electronics Ltda,3746.00,2.8,459,Sim,Não,2024-02-04,3147,25052803.58,7960.85,8554,1552,3.65,7.17,75.32,330,62.67,3.32,2026-05-16 20:42:35.119941
PROD-0010,Smart Tv 32 Polegadas,ELET-SMART-GLOBAL-0010,CATEG-0005,Global Electronics Ltda,1327.00,3.38,71,Sim,Não,2020-10-23,3161,9173004.7,2901.93,8784,1571,3.64,7.21,74.79,299,56.8,3.4,2026-05-16 20:42:35.119941
PROD-0011,Tablet 10 Polegadas,ELET-TABLET-ALPHA-0011,CATEG-0005,Alpha Tech Importados,682.00,4.98,102,Sim,Não,2020-04-05,435,643608.24,1479.56,1197,216,3.7,7.4,78.24,87,62.55,2.89,2026-05-16 20:42:35.119941
PROD-0012,Tablet 8 Polegadas,ELET-TABLET-TECHBRASIL-0012,CATEG-0005,Techbrasil Distribuidora,583.00,2.84,348,Não,Não,2022-10-11,2257,2910285.2,1289.45,6136,1136,3.67,7.25,76.14,170,57.68,3.17,2026-05-16 20:42:35.119941
PROD-0013,Fone De Ouvido Bluetooth,ELET-FONE-TECHBRASIL-0013,CATEG-0005,Techbrasil Distribuidora,-1.00,0.84,90,Sim,Sim,2025-11-08,2287,504984.18,220.81,6154,1148,3.65,7.24,76.39,212,58.73,3.14,2026-05-16 20:42:35.119941
PROD-0014,Fone De Ouvido Com Fio,ELET-FONE-SHENZHEN-0014,CATEG-0005,Shenzhen Connect Brasil,90.00,1.42,388,Sim,Não,2024-03-26,1681,325372.5,193.56,4403,809,3.57,6.86,72.44,348,67.14,2.97,2026-05-16 20:42:35.119941
PROD-0015,Headset Gamer,ELET-HEADSET-SHENZHEN-0015,CATEG-0005,Shenzhen Connect Brasil,359.00,1.35,274,Sim,Não,2020-07-11,1723,1383858.43,803.17,4724,835,3.53,6.93,71.62,341,68.68,3.19,2026-05-16 20:42:35.119941
PROD-0016,Caixa De Som Bluetooth,ELET-CAIXA-SHENZHEN-0016,CATEG-0005,Shenzhen Connect Brasil,534.00,4.2,37,Sim,Não,2022-10-14,1678,1992046.66,1187.16,4568,855,3.56,6.93,71.23,392,68.87,3.16,2026-05-16 20:42:35.119941
PROD-0017,Caixa De Som Portátil,ELET-CAIXA-SHENZHEN-0017,CATEG-0005,Shenzhen Connect Brasil,110.00,2.29,422,Sim,Não,2025-05-03,1623,397924.32,245.18,4457,819,3.49,6.77,69.11,356,72.9,3.05,2026-05-16 20:42:35.119941
PROD-0018,Barra De Som,ELET-BARRA-ALPHA-0018,CATEG-0005,Alpha Tech Importados,1466.00,1.92,262,Sim,Não,2025-02-18,1780,5523689.03,3103.2,4886,873,3.64,7.13,74.91,195,57.77,3.56,2026-05-16 20:42:35.119941
PROD-0019,Câmera Fotográfica Digital,ELET-CÂMERA-ALPHA-0019,CATEG-0005,Alpha Tech Importados,1509.00,-1.0,498,Sim,Sim,2023-06-06,1754,5461289.93,3113.62,4643,870,3.66,7.18,74.83,185,62.23,3.32,2026-05-16 20:42:35.119941
PROD-0020,Câmera De Segurança Wi-fi,ELET-CÂMERA-SHENZHEN-0020,CATEG-0005,Shenzhen Connect Brasil,494.00,2.95,152,Sim,Não,2023-08-06,1635,1814239.32,1109.63,4469,774,3.55,6.84,71.06,352,71.44,3.19,2026-05-16 20:42:35.119941
PROD-0021,Projetor Full Hd,ELET-PROJETOR-SHENZHEN-0021,CATEG-0005,Shenzhen Connect Brasil,3607.00,1.32,-1,Sim,Sim,2023-06-30,3108,24575404.56,7907.14,8574,1552,3.48,6.81,69.78,683,72.0,3.13,2026-05-16 20:42:35.119941
PROD-0022,Monitor 24 Polegadas,ELET-MONITOR-SHENZHEN-0022,CATEG-0005,Shenzhen Connect Brasil,1676.00,2.97,23,Não,Não,2022-04-13,3057,11045691.09,3613.25,8439,1480,3.48,6.89,71.22,628,74.4,3.07,2026-05-16 20:42:35.119941
PROD-0023,Monitor 27 Polegadas,ELET-MONITOR-TECHBRASIL-0023,CATEG-0005,Techbrasil Distribuidora,2146.00,4.95,49,Sim,Não,2018-01-12,3680,17328109.4,4708.73,10257,1838,3.64,7.2,74.48,296,56.56,3.41,2026-05-16 20:42:35.119941
PROD-0024,Mouse Sem Fio,ELET-MOUSE-SHENZHEN-0024,CATEG-0005,Shenzhen Connect Brasil,325.00,3.49,348,Não,Não,2024-08-24,1636,1207201.57,737.9,4554,793,3.49,6.78,69.99,373,71.22,3.04,2026-05-16 20:42:35.119941
PROD-0025,Mouse Gamer,ELET-MOUSE-SHENZHEN-0025,CATEG-0005,Shenzhen Connect Brasil,254.00,3.13,29,Sim,Não,2025-06-27,1680,954558.78,568.19,4643,815,3.5,6.89,71.41,348,75.53,2.93,2026-05-16 20:42:35.119941
PROD-0026,Teclado Mecânico,ELET-TECLADO-TECHBRASIL-0026,CATEG-0005,Techbrasil Distribuidora,501.00,1.25,212,Sim,Não,2022-09-10,2287,2573760.27,1125.39,6320,1148,3.66,7.2,76.92,193,62.17,3.24,2026-05-16 20:42:35.119941
PROD-0027,Teclado Sem Fio,ELET-TECLADO-SHENZHEN-0027,CATEG-0005,Shenzhen Connect Brasil,146.00,2.7,356,Sim,Não,2023-04-14,1640,546282.35,333.1,4472,777,3.57,6.94,72.97,383,69.11,3.08,2026-05-16 20:42:35.119941
PROD-0028,Carregador Turbo,ELET-CARREGADOR-SHENZHEN-0028,CATEG-0005,Shenzhen Connect Brasil,163.00,2.48,388,Sim,Não,2023-10-28,1698,596680.02,351.4,4459,822,3.52,6.97,72.02,415,69.06,3.13,2026-05-16 20:42:35.119941
PROD-0029,Carregador Sem Fio,ELET-CARREGADOR-GLOBAL-0029,CATEG-0005,Global Electronics Ltda,245.00,0.32,81,Sim,Não,2022-09-27,1843,988995.89,536.62,4949,950,3.67,7.18,77.16,213,60.28,3.41,2026-05-16 20:42:35.119941
PROD-0030,Película De Vidro,ELET-PELÍCULA-SHENZHEN-0030,CATEG-0005,Shenzhen Connect Brasil,52.00,2.66,-1,Não,Sim,2024-01-10,1673,195830.23,117.05,4616,754,3.52,7.0,73.08,375,72.43,3.08,2026-05-16 20:42:35.119941
PROD-0031,Capinha De Celular,ELET-CAPINHA-SHENZHEN-0031,CATEG-0005,Shenzhen Connect Brasil,80.00,0.34,90,Não,Não,2018-07-05,1688,301192.21,178.43,4555,814,3.5,6.87,71.5,357,65.48,3.24,2026-05-16 20:42:35.119941
PROD-0032,Headset Bluetooth,ELET-HEADSET-ALPHA-0032,CATEG-0005,Alpha Tech Importados,-1.00,2.21,71,Sim,Não,2026-02-20,461,103685.12,224.91,1325,216,3.59,7.22,77.78,84,65.11,3.55,2026-05-16 20:42:35.119941
PROD-0033,Hd Externo 1tb,ELET-HD-ALPHA-0033,CATEG-0005,Alpha Tech Importados,369.00,3.08,31,Sim,Não,2022-11-19,480,378109.51,787.73,1345,234,3.57,7.22,74.79,83,53.13,3.37,2026-05-16 20:42:35.119941
PROD-0034,Hd Externo 2tb,ELET-HD-SHENZHEN-0034,CATEG-0005,Shenzhen Connect Brasil,806.00,4.5,307,Sim,Não,2019-01-31,3008,5266281.64,1750.76,8156,1524,3.46,6.76,69.49,619,70.04,3.09,2026-05-16 20:42:35.119941
PROD-0035,Pen Drive 64gb,ELET-PEN-SHENZHEN-0035,CATEG-0005,Shenzhen Connect Brasil,147.00,2.58,353,Sim,Não,2023-12-23,1668,557932.09,334.49,4629,816,3.48,6.88,71.69,321,73.64,3.18,2026-05-16 20:42:35.119941
PROD-0036,Pen Drive 128gb,ELET-PEN-GLOBAL-0036,CATEG-0005,Global Electronics Ltda,151.00,3.38,3,Sim,Não,2018-08-27,1916,632254.62,329.99,5157,948,3.63,7.11,74.47,246,60.31,3.29,2026-05-16 20:42:35.119941
PROD-0037,Webcam Full Hd,ELET-WEBCAM-SHENZHEN-0037,CATEG-0005,Shenzhen Connect Brasil,252.00,0.33,387,Sim,Não,2021-03-07,1726,984735.43,570.53,4742,846,3.55,7.04,71.75,387,71.19,3.05,2026-05-16 20:42:35.119941
PROD-0038,Impressora Multifuncional,NULL-IMPRESSORA-TECHBRASIL-0038,CATEG-0008,Techbrasil Distribuidora,1176.00,0.68,0,Não,Não,2025-03-19,3599,9695463.77,2693.93,9704,1817,3.59,7.06,74.08,293,62.25,3.39,2026-05-16 20:42:35.119941
PROD-0039,Roteador Wi-fi,ELET-ROTEADOR-SHENZHEN-0039,CATEG-0005,Shenzhen Connect Brasil,254.00,3.73,396,Sim,Não,2020-09-07,1643,921650.24,560.96,4437,800,3.58,7.01,73.0,330,68.39,3.07,2026-05-16 20:42:35.119941
PROD-0040,Drone Com Câmera,ELET-DRONE-SHENZHEN-0040,CATEG-0005,Shenzhen Connect Brasil,2588.00,2.45,262,Não,Não,2022-01-27,3093,17496474.98,5656.8,8460,1496,3.48,6.8,69.92,620,73.07,3.16,2026-05-16 20:42:35.119941
PROD-0041,Console De Videogame,ELET-CONSOLE-TECHBRASIL-0041,CATEG-0005,Techbrasil Distribuidora,4154.00,4.74,247,Sim,Não,2020-10-31,3597,32715904.88,9095.33,10001,1799,3.64,7.19,75.43,295,58.48,3.24,2026-05-16 20:42:35.119941
PROD-0042,Controle Sem Fio,NULL-CONTROLE-TECHBRASIL-0042,CATEG-0008,Techbrasil Distribuidora,313.00,0.54,35,Sim,Não,2024-12-23,2308,1656150.16,717.57,6291,1171,3.66,7.3,77.11,185,58.46,3.32,2026-05-16 20:42:35.119941
PROD-0043,Aspirador Robô,ELET-ASPIRADOR-ALPHA-0043,CATEG-0005,Alpha Tech Importados,1549.00,4.67,-1,Sim,Sim,2021-09-12,1783,5909017.75,3314.09,4901,891,3.67,7.29,77.33,162,72.13,3.48,2026-05-16 20:42:35.119941
PROD-0044,Suporte Para Notebook,NULL-SUPORTE-ALPHA-0044,CATEG-0008,Alpha Tech Importados,153.00,2.62,48,Sim,Não,2021-12-08,564,193127.56,342.42,1547,284,3.58,7.13,72.89,94,70.72,3.45,2026-05-16 20:42:35.119941
PROD-0045,Hub Usb 7 Portas,ELET-HUB-SHENZHEN-0045,CATEG-0005,Shenzhen Connect Brasil,-1.00,3.49,177,Sim,Não,2019-02-21,1692,381189.95,225.29,4616,852,3.53,6.9,71.48,347,67.75,3.05,2026-05-16 20:42:35.119941
PROD-0046,Adaptador Hdmi,ELET-ADAPTADOR-SHENZHEN-0046,CATEG-0005,Shenzhen Connect Brasil,112.00,4.49,66,Sim,Não,2021-11-19,1668,432430.39,259.25,4628,858,3.56,7.01,73.19,342,72.76,2.93,2026-05-16 20:42:35.119941
PROD-0047,Cabo Usb-c 2m,NULL-CABO-TECHBRASIL-0047,CATEG-0008,Techbrasil Distribuidora,59.00,4.24,186,Sim,Não,2021-09-17,2449,333456.91,136.16,6569,1234,3.64,7.17,75.69,186,63.12,3.08,2026-05-16 20:42:35.119941
PROD-0048,Bateria Portátil 20000mah,ELET-BATERIA-SHENZHEN-0048,CATEG-0005,Shenzhen Connect Brasil,-1.00,0.75,493,Sim,Não,2024-03-18,1693,371454.57,219.41,4461,815,3.51,6.86,71.29,372,72.77,2.94,2026-05-16 20:42:35.119941
PROD-0049,Notebook Gamer,ELET-NOTEBOOK-ALPHA-0049,CATEG-0005,Alpha Tech Importados,4182.00,1.05,177,Sim,Não,2021-09-30,1811,16381936.16,9045.8,5030,920,3.68,7.34,77.07,201,57.89,3.41,2026-05-16 20:42:35.119941
PROD-0050,Smart Watch,ELET-SMART-ALPHA-0050,CATEG-0005,Alpha Tech Importados,1018.00,3.18,443,Não,Não,2022-05-31,1772,3893829.34,2197.42,5022,883,3.67,7.21,76.56,185,66.89,3.4,2026-05-16 20:42:35.119941
PROD-0051,Smartband Fitness,ELET-SMARTBAND-GLOBAL-0051,CATEG-0005,Global Electronics Ltda,504.00,1.49,394,Não,Não,2023-04-23,1916,2146356.09,1120.23,5239,960,3.54,7.01,73.33,226,66.65,3.34,2026-05-16 20:42:35.119941
PROD-0052,Impressora Térmica,ELET-IMPRESSORA-TECHBRASIL-0052,CATEG-0005,Techbrasil Distribuidora,-1.00,2.76,384,Sim,Não,2023-06-12,2192,489758.13,223.43,5936,1055,3.67,7.25,76.11,200,58.28,3.24,2026-05-16 20:42:35.119941
PROD-0053,Ssd Externo 480gb,ELET-SSD-SHENZHEN-0053,CATEG-0005,Shenzhen Connect Brasil,310.00,3.78,203,Sim,Não,2021-02-16,1707,1181670.74,692.25,4658,842,3.48,6.79,70.07,354,72.94,3.09,2026-05-16 20:42:35.119941
PROD-0054,Microfone Usb Condensador,ELET-MICROFONE-TECHBRASIL-0054,CATEG-0005,Techbrasil Distribuidora,401.00,2.14,25,Sim,Não,2025-09-20,2259,2079556.85,920.57,6306,1118,3.64,7.13,74.42,175,65.23,3.31,2026-05-16 20:42:35.119941
PROD-0055,Estabilizador 1000va,ELET-ESTABILIZADOR-SHENZHEN-0055,CATEG-0005,Shenzhen Connect Brasil,349.00,4.86,85,Sim,Não,2019-08-28,1648,1291731.01,783.82,4559,790,3.41,6.61,68.48,361,69.5,3.14,2026-05-16 20:42:35.119941
PROD-0056,Nobreak 1000va,ELET-NOBREAK-SHENZHEN-0056,CATEG-0005,Shenzhen Connect Brasil,518.00,0.47,275,Não,Não,2025-07-02,1697,1989376.55,1172.29,4633,810,3.52,6.95,72.72,367,71.82,3.09,2026-05-16 20:42:35.119941
PROD-0057,Switch Hdmi 4k,ELET-SWITCH-ALPHA-0057,CATEG-0005,Alpha Tech Importados,200.00,3.42,307,Sim,Não,2022-08-30,462,189242.95,409.62,1216,228,3.73,7.5,79.82,74,65.47,3.03,2026-05-16 20:42:35.119941
PROD-0058,Suporte Para Monitor,ELET-SUPORTE-SHENZHEN-0058,CATEG-0005,Shenzhen Connect Brasil,124.00,4.99,176,Sim,Não,2023-08-16,1699,475903.15,280.11,4599,829,3.56,7.01,72.86,390,73.65,3.11,2026-05-16 20:42:35.119941
PROD-0059,Mesa Digitalizadora,ELET-MESA-SHENZHEN-0059,CATEG-0005,Shenzhen Connect Brasil,479.00,1.42,34,Sim,Não,2019-01-27,1635,1737688.23,1062.81,4382,787,3.62,7.12,74.97,363,73.44,3.15,2026-05-16 20:42:35.119941
PROD-0060,Placa De Captura Hdmi,ELET-PLACA-TECHBRASIL-0060,CATEG-0005,Techbrasil Distribuidora,450.00,2.13,55,Sim,Não,2019-02-12,2190,2246096.59,1025.61,5982,1098,3.63,7.06,74.04,176,60.99,3.2,2026-05-16 20:42:35.119941
PROD-0061,Leitor Código De Barras,ELET-LEITOR-TECHBRASIL-0061,CATEG-0005,Techbrasil Distribuidora,344.00,3.16,128,Sim,Não,2018-10-09,2210,1685505.34,762.67,5893,1103,3.61,7.04,74.52,179,62.45,3.31,2026-05-16 20:42:35.119941
PROD-0062,Impressora Fotográfica,ELET-IMPRESSORA-TECHBRASIL-0062,CATEG-0005,Techbrasil Distribuidora,784.00,3.18,264,Não,Não,2023-11-16,2277,4099154.8,1800.24,6381,1128,3.69,7.26,76.42,188,64.48,3.29,2026-05-16 20:42:35.119941
PROD-0063,Caixinha De Som Mini,ELET-CAIXINHA-GLOBAL-0063,CATEG-0005,Global Electronics Ltda,-1.00,4.06,4,Sim,Não,2024-10-16,1847,401332.16,217.29,5040,900,3.64,7.13,74.44,217,59.8,3.15,2026-05-16 20:42:35.119941
PROD-0064,Camiseta Masculina Algodão,VEST-CAMISETA-TEXTILBRASIL-0064,CATEG-0009,Textilbrasil Distribuidora,55.00,0.8,29,Sim,Não,2018-06-30,639,77282.82,120.94,1735,334,3.67,7.3,79.64,55,60.77,3.25,2026-05-16 20:42:35.119941
PROD-0065,Camiseta Feminina Algodão,NULL-CAMISETA-FASHION-0065,CATEG-0008,Fashion Import Ltda,65.00,-1.0,429,Sim,Sim,2025-07-14,603,93073.63,154.35,1699,314,3.66,7.27,75.8,44,66.2,2.77,2026-05-16 20:42:35.119941
PROD-0066,Camiseta Polo Masculina,VEST-CAMISETA-TEXTILBRASIL-0066,CATEG-0009,Textilbrasil Distribuidora,102.00,0.45,66,Não,Não,2022-08-07,319,74282.26,232.86,894,161,3.77,7.48,76.4,30,64.82,3.2,2026-05-16 20:42:35.119941
PROD-0067,Camiseta Polo Feminina,VEST-CAMISETA-TEXTILBRASIL-0067,CATEG-0009,Textilbrasil Distribuidora,147.00,1.89,197,Sim,Não,2024-06-25,297,94584.72,318.47,800,154,3.71,7.32,81.82,12,32.29,2.92,2026-05-16 20:42:35.119941
PROD-0068,Calça Jeans Masculina,VEST-CALÇA-CONFECÇÕES-0068,CATEG-0009,Confecções Do Sul,205.00,1.49,258,Sim,Não,2018-10-14,311,139949.75,450.0,855,158,3.67,7.1,75.95,29,70.51,3.14,2026-05-16 20:42:35.119941
PROD-0069,Calça Jeans Feminina,VEST-CALÇA-MODA-0069,CATEG-0009,Moda Brasil Atacado,181.00,1.65,-1,Sim,Sim,2025-01-04,309,120317.11,389.38,838,152,3.63,7.18,75.0,25,68.33,3.24,2026-05-16 20:42:35.119941
PROD-0070,Calça Social Masculina,VEST-CALÇA-MODA-0070,CATEG-0009,Moda Brasil Atacado,164.00,1.66,78,Sim,Não,2020-10-22,274,98352.62,358.95,740,137,3.71,7.51,76.64,15,82.55,3.53,2026-05-16 20:42:35.119941
PROD-0071,Vestido Floral,VEST-VESTIDO-CONFECÇÕES-0071,CATEG-0009,Confecções Do Sul,234.00,0.93,219,Sim,Não,2022-06-29,312,160831.79,515.49,848,170,3.7,7.25,75.88,19,69.7,3.16,2026-05-16 20:42:35.119941
PROD-0072,Vestido Longo,VEST-VESTIDO-TEXTILBRASIL-0072,CATEG-0009,Textilbrasil Distribuidora,228.00,0.92,22,Sim,Não,2025-04-17,289,140833.67,487.31,764,153,3.69,7.41,77.78,17,101.11,2.88,2026-05-16 20:42:35.119941
PROD-0073,Moletom Com Capuz,VEST-MOLETOM-CONFECÇÕES-0073,CATEG-0009,Confecções Do Sul,-1.00,-1.0,458,Sim,Sim,2022-07-01,604,135760.25,224.77,1685,285,3.74,7.43,75.79,49,62.18,3.12,2026-05-16 20:42:35.119941
PROD-0074,Jaqueta Corta Vento,VEST-JAQUETA-FASHION-0074,CATEG-0009,Fashion Import Ltda,394.00,0.4,188,Sim,Não,2022-04-13,146,127089.69,870.48,398,61,3.72,7.51,78.69,12,68.67,3.58,2026-05-16 20:42:35.119941
PROD-0075,Jaqueta De Couro,VEST-JAQUETA-FASHION-0075,CATEG-0009,Fashion Import Ltda,-1.00,1.77,17,Sim,Sim,2019-11-27,613,126783.26,206.82,1629,304,3.59,7.12,75.99,47,74.58,3.66,2026-05-16 20:42:35.119941
PROD-0076,Jaqueta Impermeável,VEST-JAQUETA-MODA-0076,CATEG-0009,Moda Brasil Atacado,367.00,0.47,138,Sim,Não,2022-11-03,132,109829.29,832.04,372,64,3.41,6.97,71.88,12,81.83,3.75,2026-05-16 20:42:35.119941
PROD-0077,Jaqueta Jeans,VEST-JAQUETA-MODA-0077,CATEG-0009,Moda Brasil Atacado,114.00,1.7,187,Não,Não,2025-06-27,295,72286.57,245.04,821,154,3.64,7.31,77.27,13,54.94,2.31,2026-05-16 20:42:35.119941
PROD-0078,Tênis Casual Masculino,VEST-TÊNIS-CONFECÇÕES-0078,CATEG-0009,Confecções Do Sul,452.00,1.14,302,Sim,Não,2021-09-17,158,165849.73,1049.68,438,69,3.52,7.26,76.81,16,46.41,3.13,2026-05-16 20:42:35.119941
